package_num_channel	acc_x	acc_y	acc_z	gyr_x	gyr_y	gyr_z	mag_x	mag_y	mag_z	timestamp_channel	marker_channel
51082.000000	0.036000	0.066000	1.001000	-0.854000	-0.244000	-0.275000	4.000000	-4.000000	55.000000	1722982911.880865	0.000000
51082.000000	0.035000	0.066000	1.001000	-0.854000	-0.244000	-0.305000	4.000000	-4.000000	56.000000	1722982911.880866	0.000000
51082.000000	0.036000	0.068000	1.003000	-0.885000	-0.183000	-0.336000	4.000000	-4.000000	55.000000	1722982911.880866	0.000000
51099.000000	0.035000	0.068000	0.999000	-0.885000	-0.183000	-0.305000	4.000000	-5.000000	55.000000	1722982911.983236	0.000000
51099.000000	0.034000	0.067000	1.001000	-0.885000	-0.214000	-0.275000	4.000000	-5.000000	56.000000	1722982911.983236	0.000000
51116.000000	0.033000	0.064000	1.001000	-0.854000	-0.183000	-0.305000	4.000000	-4.000000	55.000000	1722982912.085341	0.000000
51116.000000	0.035000	0.068000	1.002000	-0.854000	-0.122000	-0.275000	4.000000	-4.000000	55.000000	1722982912.085343	0.000000
51116.000000	0.034000	0.067000	1.000000	-0.885000	-0.183000	-0.305000	4.000000	-5.000000	55.000000	1722982912.085344	0.000000
51134.000000	0.036000	0.063000	1.000000	-0.885000	-0.183000	-0.336000	4.000000	-4.000000	56.000000	1722982912.175978	0.000000
51134.000000	0.035000	0.064000	1.001000	-0.854000	-0.214000	-0.244000	4.000000	-4.000000	57.000000	1722982912.175980	0.000000
51134.000000	0.037000	0.066000	0.999000	-0.854000	-0.214000	-0.244000	4.000000	-4.000000	56.000000	1722982912.175981	0.000000
51150.000000	0.033000	0.066000	1.001000	-0.885000	-0.153000	-0.305000	5.000000	-4.000000	55.000000	1722982912.296119	0.000000
51150.000000	0.035000	0.064000	0.999000	-0.854000	-0.183000	-0.305000	4.000000	-4.000000	56.000000	1722982912.296120	0.000000
51166.000000	0.037000	0.064000	1.000000	-0.854000	-0.183000	-0.275000	4.000000	-5.000000	55.000000	1722982912.388074	0.000000
51166.000000	0.034000	0.066000	1.000000	-0.854000	-0.183000	-0.275000	4.000000	-4.000000	57.000000	1722982912.388074	0.000000
